i94cit_,i94_country_,iso_country_code_
582,MEXICO,484
236,AFGHANISTAN,4
101,ALBANIA,8
316,ALGERIA,12
102,ANDORRA,20
324,ANGOLA,24
529,ANGUILLA,660
518,ANTIGUA-BARBUDA,28
687,ARGENTINA,32
151,ARMENIA,51
532,ARUBA,533
438,AUSTRALIA,36
103,AUSTRIA,40
152,AZERBAIJAN,31
512,BAHAMAS,44
298,BAHRAIN,48
274,BANGLADESH,50
513,BARBADOS,52
104,BELGIUM,56
581,BELIZE,84
386,BENIN,204
509,BERMUDA,60
153,BELARUS,112
242,BHUTAN,64
688,BOLIVIA,68
717,"BONAIRE, ST EUSTATIUS, SABA",535
164,BOSNIA-HERZEGOVINA,70
336,BOTSWANA,72
689,BRAZIL,76
525,BRITISH VIRGIN ISLANDS,92
217,BRUNEI,96
105,BULGARIA,100
393,BURKINA FASO,854
243,BURMA,104
375,BURUNDI,108
310,CAMEROON,120
326,CAPE VERDE,132
526,CAYMAN ISLANDS,136
383,CENTRAL AFRICAN REPUBLIC,140
384,CHAD,148
690,CHILE,152
245,"CHINA, PRC",156
721,CURACAO,531
270,CHRISTMAS ISLAND,162
271,COCOS ISLANDS,166
691,COLOMBIA,170
317,COMOROS,174
385,CONGO,178
467,COOK ISLANDS,184
575,COSTA RICA,188
165,CROATIA,191
584,CUBA,192
218,CYPRUS,196
140,CZECH REPUBLIC,203
723,FAROE ISLANDS (PART OF DENMARK),234
108,DENMARK,208
322,DJIBOUTI,262
519,DOMINICA,212
585,DOMINICAN REPUBLIC,214
240,EAST TIMOR,626
692,ECUADOR,218
368,EGYPT,818
576,EL SALVADOR,222
399,EQUATORIAL GUINEA,226
372,ERITREA,232
109,ESTONIA,233
369,ETHIOPIA,231
604,FALKLAND ISLANDS,238
413,FIJI,242
110,FINLAND,246
111,FRANCE,250
601,FRENCH GUIANA,254
411,FRENCH POLYNESIA,258
387,GABON,266
338,GAMBIA,270
758,GAZA STRIP,0
154,GEORGIA,268
112,GERMANY,276
339,GHANA,288
143,GIBRALTAR,292
113,GREECE,300
520,GRENADA,308
507,GUADELOUPE,312
577,GUATEMALA,320
382,GUINEA,324
327,GUINEA-BISSAU,624
603,GUYANA,328
586,HAITI,332
726,HEARD AND MCDONALD IS.,334
149,HOLY SEE/VATICAN,336
528,HONDURAS,340
206,HONG KONG,344
114,HUNGARY,348
115,ICELAND,352
213,INDIA,356
759,INDIAN OCEAN AREAS (FRENCH),260
729,INDIAN OCEAN TERRITORY,86
204,INDONESIA,360
249,IRAN,364
250,IRAQ,368
116,IRELAND,372
251,ISRAEL,376
117,ITALY,380
388,IVORY COAST,384
514,JAMAICA,388
209,JAPAN,392
253,JORDAN,400
201,KAMPUCHEA,116
155,KAZAKHSTAN,398
340,KENYA,404
414,KIRIBATI,296
732,KOSOVO,0
272,KUWAIT,414
156,KYRGYZSTAN,417
203,LAOS,418
118,LATVIA,428
255,LEBANON,422
335,LESOTHO,426
370,LIBERIA,430
381,LIBYA,434
119,LIECHTENSTEIN,438
120,LITHUANIA,440
121,LUXEMBOURG,442
214,MACAU,446
167,MACEDONIA,807
320,MADAGASCAR,450
345,MALAWI,454
273,MALAYSIA,458
220,MALDIVES,462
392,MALI,466
145,MALTA,470
472,MARSHALL ISLANDS,584
511,MARTINIQUE,474
389,MAURITANIA,478
342,MAURITIUS,480
760,MAYOTTE (AFRICA - FRENCH),175
473,"MICRONESIA, FED. STATES OF",583
157,MOLDOVA,498
122,MONACO,492
299,MONGOLIA,496
735,MONTENEGRO,499
521,MONTSERRAT,500
332,MOROCCO,504
329,MOZAMBIQUE,508
371,NAMIBIA,516
440,NAURU,520
257,NEPAL,524
123,NETHERLANDS,528
508,NETHERLANDS ANTILLES,0
409,NEW CALEDONIA,540
464,NEW ZEALAND,554
579,NICARAGUA,558
390,NIGER,562
343,NIGERIA,566
470,NIUE,570
275,NORTH KOREA,408
124,NORWAY,578
256,OMAN,512
258,PAKISTAN,586
474,PALAU,585
743,PALESTINE,275
504,PANAMA,591
441,PAPUA NEW GUINEA,598
693,PARAGUAY,600
694,PERU,604
260,PHILIPPINES,608
416,PITCAIRN ISLANDS,612
107,POLAND,616
126,PORTUGAL,620
297,QATAR,634
